Create video stream channel for type : 0, uid :0

duration : 2, tx :61720, rx :4548, txbr :0, rxbr :0, txAudioBr :0, rxAudioBr :0, users :1

duration : 4, tx :226263, rx :7648, txbr :658, rxbr :12, txAudioBr :88, rxAudioBr :0, users :1

duration : 6, tx :443472, rx :11568, txbr :868, rxbr :15, txAudioBr :83, rxAudioBr :0, users :1

duration : 8, tx :666622, rx :15566, txbr :892, rxbr :15, txAudioBr :84, rxAudioBr :0, users :1

duration : 10, tx :902598, rx :19662, txbr :943, rxbr :16, txAudioBr :84, rxAudioBr :0, users :1

duration : 12, tx :1137705, rx :23317, txbr :940, rxbr :14, txAudioBr :87, rxAudioBr :0, users :1

duration : 14, tx :1379899, rx :27246, txbr :968, rxbr :15, txAudioBr :76, rxAudioBr :0, users :1

duration : 16, tx :1631385, rx :31069, txbr :1005, rxbr :15, txAudioBr :68, rxAudioBr :0, users :1

duration : 18, tx :1890538, rx :35036, txbr :1036, rxbr :15, txAudioBr :83, rxAudioBr :0, users :1

duration : 20, tx :2150992, rx :38883, txbr :1041, rxbr :15, txAudioBr :78, rxAudioBr :0, users :1

duration : 20, tx :2164998, rx :38986, txbr :683, rxbr :5, txAudioBr :34, rxAudioBr :0, users :1

duration : 20, tx :2164998, rx :38986, txbr :683, rxbr :5, txAudioBr :0, rxAudioBr :0, users :1

